Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,SOL/USD,Sell,1000000.0,1000000.0,14.43,14.43,0.0
2022-11-17 01:00:00,SOL/USD,Sell,1000000.0,1000000.0,14.429,14.43,0.0
2022-11-17 02:00:00,SOL/USD,Buy,1000000.0,1000000.0,14.2228,14.2228,0.0
2022-11-17 03:00:00,SOL/USD,Buy,1000000.0,1000000.0,14.2065,14.2228,0.0
2022-11-17 04:00:00,SOL/USD,Buy,1000000.0,1000000.0,14.0937,14.2228,0.0
2022-11-17 05:00:00,SOL/USD,Sell,1000000.0,1002102.2583457548,14.2527,14.2228,0.002102258345754817
2022-11-17 06:00:00,SOL/USD,Buy,1002102.2583457548,1002102.2583457548,14.2244,14.2244,0.0
2022-11-17 07:00:00,SOL/USD,Buy,1002102.2583457548,1002102.2583457548,14.2337,14.2244,0.0
2022-11-17 08:00:00,SOL/USD,Buy,1002102.2583457548,1002102.2583457548,14.2002,14.2244,0.0
2022-11-17 09:00:00,SOL/USD,Buy,1002102.2583457548,1002102.2583457548,14.1158,14.2244,0.0
2022-11-17 10:00:00,SOL/USD,Buy,1002102.2583457548,1002102.2583457548,14.1172,14.2244,0.0
2022-11-17 11:00:00,SOL/USD,Sell,1002102.2583457548,1001418.8979294313,14.2147,14.2244,-0.0006819268299540636
2022-11-17 12:00:00,SOL/USD,Buy,1001418.8979294313,1001418.8979294313,13.6839,13.6839,0.0
2022-11-17 13:00:00,SOL/USD,Buy,1001418.8979294313,1001418.8979294313,13.16,13.6839,0.0
2022-11-17 14:00:00,SOL/USD,Buy,1001418.8979294313,1001418.8979294313,13.2851,13.6839,0.0
2022-11-17 15:00:00,SOL/USD,Buy,1001418.8979294313,1001418.8979294313,13.5314,13.6839,0.0
2022-11-17 16:00:00,SOL/USD,Buy,1001418.8979294313,1001418.8979294313,13.4297,13.6839,0.0
2022-11-17 17:00:00,SOL/USD,Sell,1001418.8979294313,1001411.5797021866,13.6838,13.6839,-7.307858139874219e-06
2022-11-17 18:00:00,SOL/USD,Sell,1001411.5797021866,1001411.5797021866,13.5341,13.6839,0.0
2022-11-17 19:00:00,SOL/USD,Buy,1001411.5797021866,1001411.5797021866,13.439,13.439,0.0
2022-11-17 20:00:00,SOL/USD,Sell,1001411.5797021866,1011478.6013866694,13.5741,13.439,0.01005283131185349
2022-11-17 21:00:00,SOL/USD,Sell,1011478.6013866694,1011478.6013866694,13.65,13.439,0.0
2022-11-17 22:00:00,SOL/USD,Sell,1011478.6013866694,1011478.6013866694,13.6778,13.439,0.0
2022-11-17 23:00:00,SOL/USD,Buy,1011478.6013866694,1011478.6013866694,13.6227,13.6227,0.0
2022-11-18 00:00:00,SOL/USD,Sell,1011478.6013866694,1019779.6949756811,13.7345,13.6227,0.008206889970417023
2022-11-18 01:00:00,SOL/USD,Buy,1019779.6949756811,1019779.6949756811,13.5682,13.5682,0.0
2022-11-18 02:00:00,SOL/USD,Sell,1019779.6949756811,1030181.7755600354,13.7066,13.5682,0.010200321339602955
2022-11-18 03:00:00,SOL/USD,Sell,1030181.7755600354,1030181.7755600354,13.6833,13.5682,0.0
2022-11-18 04:00:00,SOL/USD,Buy,1030181.7755600354,1030181.7755600354,13.6486,13.6486,0.0
2022-11-18 05:00:00,SOL/USD,Buy,1030181.7755600354,1030181.7755600354,13.5722,13.6486,0.0
2022-11-18 06:00:00,SOL/USD,Sell,1030181.7755600354,1032906.5650694148,13.6847,13.6486,0.002644959922629334
2022-11-18 07:00:00,SOL/USD,Buy,1032906.5650694148,1032906.5650694148,13.5948,13.5948,0.0
2022-11-18 08:00:00,SOL/USD,Buy,1032906.5650694148,1032906.5650694148,13.5479,13.5948,0.0
2022-11-18 09:00:00,SOL/USD,Buy,1032906.5650694148,1032906.5650694148,13.5785,13.5948,0.0
2022-11-18 10:00:00,SOL/USD,Sell,1032906.5650694148,1034251.3767769596,13.6125,13.5948,0.0013019683996823694
2022-11-18 11:00:00,SOL/USD,Buy,1034251.3767769596,1034251.3767769596,13.5419,13.5419,0.0
2022-11-18 12:00:00,SOL/USD,Buy,1034251.3767769596,1034251.3767769596,13.503,13.5419,0.0
2022-11-18 13:00:00,SOL/USD,Buy,1034251.3767769596,1034251.3767769596,13.5489,13.5419,0.0
2022-11-18 14:00:00,SOL/USD,Buy,1034251.3767769596,1034251.3767769596,13.4234,13.5419,0.0
2022-11-18 15:00:00,SOL/USD,Buy,1034251.3767769596,1034251.3767769596,13.3363,13.5419,0.0
2022-11-18 16:00:00,SOL/USD,Buy,1034251.3767769596,1034251.3767769596,13.254,13.5419,0.0
2022-11-18 17:00:00,SOL/USD,Buy,1034251.3767769596,1034251.3767769596,13.0719,13.5419,0.0
